Province,Date,Confirmed cases,New,Deaths,Recovered
Blida,01 March 2020,2,,,
Blida,02 March 2020,4,,,
Blida,04 March 2020,11,,,
Blida,05 March 2020,16,,,
Blida,22 March 2020,110,,,
Blida,23 March 2020,125,,,
Blida,26 March 2020,176,,,
Blida,27 March 2020,180,,,
Blida,29 March 2020,220,,,
Blida,30 March 2020,251,,,
Blida,31 March 2020,294,,,
Blida,01 April 2020,342,,,
Blida,02 April 2020,385,,,
Blida,03 April 2020,432,,,
Blida,04 April 2020,447,,,
Blida,05 April 2020,456,,,
Blida,06 April 2020,474,,,
Blida,08 April 2020,494,,,
Blida,09 April 2020,508,,,
Blida,10 April 2020,529,,,
Blida,11 April 2020,538,,,
Blida,12 April 2020,554,,,
Blida,13 April 2020,560,,,
Blida,14 April 2020,575,,,
Blida,15 April 2020,597,,,
Blida,16 April 2020,615,,,
Blida,17 April 2020,628,,,
Blida,18 April 2020,663,,,
Blida,19 April 2020,669,,,
Blida,20 April 2020,677,,,
Blida,21 April 2020,692,,,
Blida,22 April 2020,701,,,
Blida,23 April 2020,702,,,
Blida,24 April 2020,730,,,
Blida,25 April 2020,749,,,
Blida,26 April 2020,749,,,
Blida,27 April 2020,761,,,
Blida,28 April 2020,772,,,
Blida,29 April 2020,786,,,
Blida,30 April 2020,799,,,
Blida,01 May 2020,810,,,
Blida,02 May 2020,820,,,
Blida,03 May 2020,839,,,
Blida,04 May 2020,846,,,
Blida,05 May 2020,860,,,
Blida,06 May 2020,865,,,
Blida,07 May 2020,880,,,
Blida,08 May 2020,898,,,
Blida,09 May 2020,913,,,
Blida,10 May 2020,925,,,
Blida,11 May 2020,934,,,
Blida,12 May 2020,939,,,
Blida,13 May 2020,954,,,
Blida,14 May 2020,969,,,
Blida,15 May 2020,977,,,
Blida,16 May 2020,996,,,
Blida,17 May 2020,1002,,,
Blida,18 May 2020,1016,,,
Blida,19 May 2020,1022,,,
Blida,20 May 2020,1038,,,
Blida,21 May 2020,1043,,,
Blida,22 May 2020,1049,,,
Blida,23 May 2020,1062,,,
Blida,24 May 2020,1078,,,
Blida,25 May 2020,1093,,,
Blida,26 May 2020,1107,,,
Blida,27 May 2020,1124,,,
Blida,28 May 2020,1127,,,
Blida,29 May 2020,1138,,,
Blida,30 May 2020,1150,,,
Blida,31 May 2020,1159,,,
Blida,01 June 2020,1169,,,
Blida,02 June 2020,1176,,,
Blida,03 June 2020,1185,,,
Blida,04 June 2020,1193,,,
Blida,05 June 2020,1207,,,
Blida,06 June 2020,1230,,,
Blida,07 June 2020,1247,,,
Blida,08 June 2020,1264,,,
Blida,09 June 2020,1273,,,
Blida,10 June 2020,1288,,,
Blida,11 June 2020,1307,,,
Blida,12 June 2020,1331,,,
Blida,13 June 2020,1357,,,
Blida,14 June 2020,1372,,,
Blida,15 June 2020,1388,,,
